date,song,artist,count,listen_time_minutes
2024-10-17,Love,Keyshia Cole,1,4.2
2024-10-17,May I Ask,Luke Chiang,1,3.75
2024-10-17,Infatuated,Rangga Jones,1,3.73
2024-10-17,Strawberry Blossom,RINI,1,3.64
2024-10-17,For No Reason,YAØ,1,3.18
2024-10-17,Slowly,CLAUDIA,1,3.05
2024-10-17,i need you more (feat. Suyo),Sweet The Kid,1,3.05
2024-10-17,Settle 4 Less,CLAUDIA,1,2.52
2024-10-17,camellia,slchld,1,2.45
2024-10-17,LAST GOODBYE,sunkis,1,2.4
2024-10-17,madly,Emily Vaughn,1,1.59
2024-10-16,ANGOSTURA,keshi,4,11.02
2024-10-16,Soft Spot,keshi,3,9.87
2024-10-16,Strawberry Blossom,RINI,2,7.15
2024-10-16,HITMYLINE,Concepcion,2,6.52
2024-10-16,Out of the Blue,RINI,2,6.24
2024-10-16,Top Tier,sunkis,2,5.55
2024-10-16,Like I Do (with sunkis),J.Tajor,2,4.74
2024-10-16,You Broke Me First,Conor Maynard,2,4.42
2024-10-16,i loved you,Beauty School Dropout,2,3.5
2024-10-16,trust me,sunkis,2,3.01
2024-10-16,keep smiling,demxntia,2,0.93
2024-10-16,next door (feat. ASTN),Amelia Moore,2,0.73
2024-10-16,Slowly,CLAUDIA,2,0.71
2024-10-16,Versace on the Floor,Bruno Mars,2,0.21
2024-10-16,blue salvia,PRYVT,2,0.14
2024-10-16,better for you,siopaolo,1,4.75
2024-10-16,Dried Flowers(English ver.),Yuuri,1,4.67
2024-10-16,i know you know,CHSKA,1,4.28
2024-10-16,24K Magic,Bruno Mars,1,3.76
2024-10-16,if it's not you,PRYVT,1,3.72
2024-10-16,Temporary Love,sunkis,1,3.27
2024-10-16,Heartbreak Anniversary,Giveon,1,3.22
2024-10-16,I Think They Call This Love,Elliot James Reay,1,3.17
2024-10-16,For No Reason,YAØ,1,3.14
2024-10-16,i need you more (feat. Suyo),Sweet The Kid,1,3.07
2024-10-16,Hopelessly Devoted To You - Spotify Single,Alex Porat,1,2.93
2024-10-16,Night,keshi,1,2.91
2024-10-16,3 new words,lullaboy,1,2.86
2024-10-16,Come Play (from the series Arcane League of Legends),Stray Kids,1,2.57
2024-10-16,the cutest pair,Regina Song,1,2.56
2024-10-16,Senses,MICO,1,2.54
2024-10-16,Moonlit Floor,LISA,1,2.52
2024-10-16,VOICEMAIL,sunkis,1,2.36
2024-10-16,All For You,sunkis,1,2.32
2024-10-16,Last Minute,Sam MacPherson,1,2.19
2024-10-16,love me from a distance,Emily Vaughn,1,1.88
2024-10-16,us,keshi,1,1.32
2024-10-16,Requiem,keshi,1,0.26
2024-10-16,Congratulations - English Ver.,DAY6,1,0.18
2024-10-16,mad,eaJ,1,0.08
2024-10-16,"I can't go home, anymore",PRYVT,1,0.07
2024-10-16,HOPELESS,raph,1,0.01
2024-10-16,LEFT OF ME,Johnny Huynh,1,0.01
2024-10-16,Love,Keyshia Cole,1,0.01
2024-10-16,Without Me,Halsey,1,0.01
2024-10-15,glide,Sweet The Kid,10,18.99
2024-10-15,Out of the Blue,RINI,6,19.4
2024-10-15,I Think They Call This Love,Elliot James Reay,5,16.0
2024-10-15,VOICEMAIL,sunkis,5,3.95
2024-10-15,daisy.,wave to earth,4,14.05
2024-10-15,ONLY,LeeHi,3,11.81
2024-10-15,For No Reason,YAØ,3,9.43
2024-10-15,i need you more (feat. Suyo),Sweet The Kid,3,8.96
2024-10-15,Top Tier,sunkis,3,8.21
2024-10-15,trust me,sunkis,3,8.13
2024-10-15,MIDDLE OF THE NIGHT,MONSTA X,3,8.07
2024-10-15,ANGOSTURA,keshi,3,7.36
2024-10-15,Love,Keyshia Cole,3,0.04
2024-10-15,Tip Toe,HYBS,2,7.35
2024-10-15,Strawberry Blossom,RINI,2,7.24
2024-10-15,next door (feat. ASTN),Amelia Moore,2,6.86
2024-10-15,take it slow,yedira,2,6.73
2024-10-15,Soft Spot,keshi,2,6.6
2024-10-15,HITMYLINE,Concepcion,2,6.54
2024-10-15,10 Freaky Girls (with 21 Savage),Metro Boomin,2,6.41
2024-10-15,Understand,MELOH,2,5.16
2024-10-15,the cutest pair,Regina Song,2,5.13
2024-10-15,keep smiling,demxntia,2,4.31
2024-10-15,Astronaut In The Ocean,Masked Wolf,2,4.17
2024-10-15,ball w/o you,21 Savage,2,2.31
2024-10-15,Versace on the Floor,Bruno Mars,2,0.01
2024-10-15,i know you know,CHSKA,1,4.28
2024-10-15,Worlds Away,Dabin,1,4.11
2024-10-15,Crawl Outta Love,ILLENIUM,1,4.01
2024-10-15,Miracle,RINI,1,3.86
2024-10-15,Hold On (with Georgia Ku),ILLENIUM,1,3.85
2024-10-15,Crashing (feat. Bahari),ILLENIUM,1,3.81
2024-10-15,After You (feat. Calle Lehmann),Gryffin,1,3.73
2024-10-15,Nightlight,ILLENIUM,1,3.69
2024-10-15,Ready,Dabin,1,3.66
2024-10-15,if it's not you,PRYVT,1,3.65
2024-10-15,Save Me (From Myself) (feat. Kyle Hume),NURKO,1,3.6
2024-10-15,Fall To My Grave,SVRRIC,1,3.58
2024-10-15,Sad Songs (with Said The Sky & Annika Wells),ILLENIUM,1,3.5
2024-10-15,Bye Bye (feat. Ivy Adara),Gryffin,1,3.49
2024-10-15,Nevada,Vicetone,1,3.45
2024-10-15,Sleepless Nights (feat. Nightly),ayokay,1,3.3
2024-10-15,Last First Kiss,One Direction,1,3.29
2024-10-15,CRUSH (with ASTN & Bren Joy),sunkis,1,3.25
2024-10-15,Love Ain't Changin,GhostDragon,1,3.21
2024-10-15,Worth It,William Black,1,3.21
2024-10-15,Id,keshi,1,3.2
2024-10-15,blue salvia,PRYVT,1,3.2
2024-10-15,Body Back (feat. Maia Wright),Gryffin,1,3.12
2024-10-15,Pure Water (with Migos),Mustard,1,3.06
2024-10-15,LALALALA (Rock Ver.),Stray Kids,1,3.05
2024-10-15,obsessed,thủy,1,3.0
2024-10-15,Night,keshi,1,2.94
2024-10-15,Say,keshi,1,2.92
2024-10-15,With All My Heart,ILLENIUM,1,2.92
2024-10-15,NVMD,Denise Julia,1,2.9
2024-10-15,Don't Leave,Tom Frane,1,2.89
2024-10-15,castle in the sky,eaJ,1,2.85
2024-10-15,IT'S YOU (feat. keshi),MAX,1,2.8
2024-10-15,3 new words,lullaboy,1,2.79
2024-10-15,bad together,CLAUDIA,1,2.79
2024-10-15,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1,2.77
2024-10-15,Ni**as In Paris,JAY-Z,1,2.74
2024-10-15,cherry red,HNATA,1,2.74
2024-10-15,up to me,LANY,1,2.73
2024-10-15,Hopelessly Devoted To You - Spotify Single,Alex Porat,1,2.7
2024-10-15,Hopelessly Devoted To You,YAØ,1,2.64
2024-10-15,Senses,MICO,1,2.61
2024-10-15,Eyes Wide Shut,ILLENIUM,1,2.53
2024-10-15,GET IT,keshi,1,2.51
2024-10-15,"darling, he lied",bixby,1,2.5
2024-10-15,Don't Wanna Be Your Friend (feat. Katie Pearlman),ayokay,1,2.48
2024-10-15,desire,bixby,1,2.43
2024-10-15,I Like It,Stray Kids,1,2.38
2024-10-15,Like I Do,J.Tajor,1,2.38
2024-10-15,Like I Do (with sunkis),J.Tajor,1,2.37
2024-10-15,Space Cadet (feat. Gunna),Metro Boomin,1,2.17
2024-10-15,You Broke Me First,Conor Maynard,1,2.17
2024-10-15,ZEZE (feat. Travis Scott & Offset),Kodak Black,1,2.12
2024-10-15,summer,raph,1,2.1
2024-10-15,Be So Cruel,ASTN,1,2.09
2024-10-15,SET YOURSELF ON FIRE,Ruel,1,2.04
2024-10-15,LAST GOODBYE,sunkis,1,1.95
2024-10-15,kiss me thru the phone,CLUB BOYBND,1,1.91
2024-10-15,cruel,starfall,1,1.9
2024-10-15,here,Emily Vaughn,1,1.88
2024-10-15,hero,starfall,1,1.87
2024-10-15,distance,bixby,1,1.83
2024-10-15,LALALALA,Stray Kids,1,1.61
2024-10-15,In Every Disaster,sunkis,1,1.53
2024-10-15,You & Me,JENNIE,1,1.51
2024-10-15,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,1,1.26
2024-10-15,Kiss Me Right,keshi,1,1.25
2024-10-15,Hopelessly Devoted to You - Remastered,Frank Chacksfield,1,1.04
2024-10-15,Cry,Gryffin,1,1.02
2024-10-15,Hopelessly Devoted To You,Reinaeiry,1,0.99
2024-10-15,dna,LANY,1,0.93
2024-10-15,Mask Off,Future,1,0.88
2024-10-15,85%,Loote,1,0.34
2024-10-15,Like Strangers Do,AJ Mitchell,1,0.28
2024-10-15,when the rain stops,eaJ,1,0.27
2024-10-15,Hopelessly Devoted To You,Olivia Newton-John,1,0.24
2024-10-15,Requiem,keshi,1,0.14
2024-10-15,Home,niko rain,1,0.11
2024-10-15,Stay A While,niko rain,1,0.11
2024-10-15,alright,raph,1,0.09
