year,week,song,artist,count,listen_time_minutes
2024,1,You Don't Know - New Ver.,Jimmy Brown,5,14.47
2024,1,Stuck in the Middle,ONE OK ROCK,2,6.67
2024,1,"To Love's End (From ""Inuyasha"")",Jeremy Ng,1,5.62
2024,1,Howl's Moving Castle theme,KayThePianist,1,4.85
2024,1,イザベラの唄,小畑貴裕,2,4.82
2024,41,i need you more (feat. Suyo),Sweet The Kid,20,60.99
2024,41,For No Reason,YAØ,12,38.67
2024,41,next door (feat. ASTN),Amelia Moore,11,38.04
2024,41,Strawberry Blossom,RINI,9,32.9
2024,41,HITMYLINE,Concepcion,9,29.840000000000003
2024,42,Out of the Blue,RINI,10,31.36
2024,42,Soft Spot,keshi,6,19.88
2024,42,glide,Sweet The Kid,10,18.63
2024,42,ANGOSTURA,keshi,7,18.3
2024,42,I Think They Call This Love,Elliot James Reay,6,16.96
2024,43,Tears in your eyes,MICO,64,166.64
2024,43,What you're not,MICO,33,82.69999999999999
2024,43,TV,MICO,29,75.89
2024,43,The one to fall,MICO,25,75.83
2024,43,Senses,MICO,24,60.449999999999996
2024,44,Tears in your eyes,MICO,45,114.35000000000001
2024,44,OBVIOUS,Fordo,26,77.15
2024,44,JADED,Fordo,27,75.53999999999999
2024,44,HOMESICK,MICO,20,48.019999999999996
2024,44,TV,MICO,18,44.1
2024,45,eyes so red,Jimmy Brown,8,19.29
2024,45,Tears in your eyes,MICO,7,17.25
2024,45,TOUCH,keshi,5,13.5
2024,45,Aphrodite,RINI,3,13.33
2024,45,All My Life,YAØ,4,12.48
2024,46,come into you,Jimmy Brown,27,59.65
2024,46,Dystopia - Japanese Version,ONE OK ROCK,20,57.78
2024,46,dashstar* - VIP,Knock2,23,52.09
2024,46,eyes so red,Jimmy Brown,16,39.06
2024,46,KISS ME GOODBYE,Fordo,8,22.869999999999997
2024,47,Bad and Boujee (feat. Lil Uzi Vert),Migos,11,60.84
2024,47,Dystopia - Japanese Version,ONE OK ROCK,15,43.32
2024,47,Homecoming,Lil Uzi Vert,7,21.650000000000002
2024,47,eyes so red,Jimmy Brown,8,21.48
2024,47,Glock In My Lap,21 Savage,9,20.93
2024,48,Tears in your eyes,MICO,20,50.93
2024,48,close with desires (feat. thuy),teo glacier,6,18.09
2024,48,Lover Online,NOTD,7,16.65
2024,48,Eternity (feat. Dayce Williams),NURKO,4,14.97
2024,48,feel U luv Me,Knock2,4,14.85
2024,49,+Matter,ONE OK ROCK,5,18.67
2024,49,i need you more (feat. Suyo),Sweet The Kid,6,16.07
2024,49,Soft Spot,keshi,4,13.16
2024,49,Chasin' You,Morgan Wallen,4,12.48
2024,49,TOUCH,keshi,5,11.48
2024,50,Do Better,sunkis,36,99.65
2024,50,AUTOMATIC REMIX,Chancellor,2,26.78
2024,50,Too Much To Lose,Boy In Space,6,16.45
2024,50,Dancing On Dynamite,Boy In Space,5,13.15
2024,50,AUTOMATIC,Chancellor,4,11.23
2024,51,Your Fault,Excision,9,32.74
2024,51,alright,brb.,9,25.4
2024,51,Cry Out,ONE OK ROCK,8,18.66
2024,51,Erase You,Excision,5,17.74
2024,51,you broke me first,Our Last Night,5,12.23
2024,52,alright,brb.,3,8.5
2024,52,CARNIVAL,¥$,1,4.28
2024,52,CAROUSEL,5 Seconds of Summer,1,3.78
2024,52,Fallin' For You,Colbie Caillat,1,3.49
2024,52,Painkiller,Ruel,1,3.42
2025,1,Let Me Love You,DAY6,1,4.04
2025,1,The Happy Song,Survive Said The Prophet,1,2.73
2025,1,Die With You On My Mind,Story Untold,1,2.72
2025,1,happier than ever,Loveless,1,2.36
