year,week,song,artist,count,listen_time_minutes
2024,41,i need you more (feat. Suyo),Sweet The Kid,20,60.99
2024,41,For No Reason,YAØ,12,38.67
2024,41,next door (feat. ASTN),Amelia Moore,11,38.04
2024,41,Strawberry Blossom,RINI,9,32.9
2024,41,HITMYLINE,Concepcion,9,29.840000000000003
2024,42,Out of the Blue,RINI,10,31.36
2024,42,Soft Spot,keshi,6,19.88
2024,42,glide,Sweet The Kid,10,18.63
2024,42,ANGOSTURA,keshi,7,18.3
2024,42,I Think They Call This Love,Elliot James Reay,6,16.96
2024,43,Tears in your eyes,MICO,64,166.64
2024,43,What you're not,MICO,33,82.69999999999999
2024,43,TV,MICO,29,75.89
2024,43,The one to fall,MICO,25,75.83
2024,43,Senses,MICO,24,60.449999999999996
2024,44,Tears in your eyes,MICO,55,142.45
2024,44,JADED,Fordo,21,59.21
2024,44,OBVIOUS,Fordo,20,58.84
2024,44,HOMESICK,MICO,15,39.3
2024,44,TV,MICO,16,38.44
